Date,Open,High,Low,Close,Volume
2012-09-13,3540.919922,3540.929932,3494.110107,3502.090088,155258400
2012-09-14,3573.300049,3588.020020,3555.669922,3581.580078,230404600
2012-09-17,3558.570068,3573.979980,3552.629883,3553.689941,142076400
2012-09-18,3533.770020,3538.449951,3500.340088,3512.689941,167406800
2012-09-19,3528.669922,3540.320068,3503.729980,3531.820068,155636400
2012-09-20,3501.010010,3520.939941,3486.360107,3509.919922,137676200
2012-09-21,3528.459961,3540.879883,3504.610107,3530.719971,234806800
2012-09-24,3501.340088,3514.070068,3483.540039,3497.219971,106334400
2012-09-25,3490.159912,3520.290039,3474.090088,3513.810059,122937000
2012-09-26,3471.739990,3472.709961,3414.840088,3414.840088,163388200
2012-09-27,3437.409912,3447.459961,3421.310059,3439.320068,114155800
2012-09-28,3457.459961,3459.580078,3354.820068,3354.820068,157124800
2012-10-01,3348.070068,3438.929932,3348.070068,3434.979980,161579200
2012-10-02,3411.250000,3450.800049,3392.370117,3414.229980,137533200
2012-10-03,3396.790039,3420.739990,3387.949951,3406.020020,118791200
2012-10-04,3422.110107,3432.439941,3387.479980,3401.199951,111079600
2012-10-05,3410.399902,3461.840088,3410.399902,3457.040039,143091000
2012-10-08,3429.320068,3429.860107,3404.969971,3406.530029,123548600
2012-10-09,3420.229980,3427.419922,3377.919922,3382.780029,185969000
2012-10-10,3370.919922,3387.379883,3365.870117,3365.870117,140022200
2012-10-11,3352.850098,3423.979980,3351.439941,3413.719971,141013400
2012-10-12,3401.260010,3419.000000,3389.080078,3389.080078,173790200
2012-10-15,3387.760010,3439.520020,3387.760010,3420.280029,125729400
2012-10-16,3443.600098,3500.939941,3428.969971,3500.939941,163753600
2012-10-17,3503.820068,3530.790039,3494.350098,3527.500000,229314400
2012-10-18,3527.760010,3542.580078,3508.399902,3535.179932,184827000
2012-10-19,3527.790039,3537.919922,3496.760010,3504.560059,219409800
2012-10-22,3498.379883,3519.050049,3475.820068,3483.250000,134746600
2012-10-23,3485.939941,3492.020020,3391.300049,3406.500000,161423000
2012-10-24,3421.830078,3433.760010,3388.709961,3426.489990,123443600
2012-10-25,3427.830078,3457.300049,3408.929932,3411.530029,132274000
2012-10-26,3384.679932,3446.739990,3382.360107,3435.090088,141176000
2012-10-29,3419.379883,3421.340088,3394.889893,3408.889893,101421800
2012-10-30,3414.709961,3461.969971,3414.709961,3459.439941,79154400
2012-10-31,3459.340088,3484.780029,3429.270020,3429.270020,118320800
2012-11-01,3420.479980,3484.169922,3413.689941,3475.399902,112130000
2012-11-02,3480.629883,3502.639893,3457.929932,3492.459961,164708800
2012-11-05,3469.899902,3473.570068,3448.500000,3448.500000,103696800
2012-11-06,3455.830078,3480.500000,3446.709961,3478.659912,100138600
2012-11-07,3513.419922,3515.870117,3409.590088,3409.590088,186738000
2012-11-08,3433.800049,3440.770020,3400.239990,3407.679932,194507600
2012-11-09,3410.979980,3432.939941,3374.080078,3423.570068,196468200
2012-11-12,3424.550049,3428.500000,3403.969971,3411.649902,105320800
2012-11-13,3391.570068,3434.270020,3374.100098,3430.600098,134343200
2012-11-14,3424.679932,3436.260010,3394.729980,3400.020020,142418200
2012-11-15,3379.320068,3400.520020,3374.469971,3382.399902,137885400
2012-11-16,3379.520020,3392.530029,3341.520020,3341.520020,164486000
2012-11-19,3375.419922,3444.090088,3369.530029,3439.580078,124613000
2012-11-20,3424.709961,3463.770020,3415.659912,3462.060059,108347200
2012-11-21,3454.010010,3483.989990,3444.550049,3477.360107,106637800
2012-11-22,3489.080078,3499.620117,3480.989990,3498.219971,125237600
2012-11-23,3505.350098,3528.800049,3481.649902,3528.800049,187965800
2012-11-26,3513.939941,3522.020020,3494.270020,3500.939941,107463200
2012-11-27,3521.169922,3530.790039,3491.060059,3502.129883,118886400
2012-11-28,3489.530029,3519.719971,3479.159912,3515.189941,111925800
2012-11-29,3536.800049,3568.939941,3532.770020,3568.879883,136953400
2012-11-30,3568.050049,3584.729980,3557.280029,3557.280029,261395000
2012-12-03,3567.899902,3603.050049,3563.290039,3566.590088,122978400
2012-12-04,3563.030029,3596.899902,3563.020020,3580.479980,148535400
2012-12-05,3602.209961,3607.100098,3575.100098,3590.500000,126952800
2012-12-06,3598.129883,3621.449951,3585.330078,3601.649902,157769800
2012-12-07,3606.760010,3622.360107,3590.120117,3605.610107,120629200
2012-12-10,3587.320068,3614.459961,3575.530029,3612.100098,106222200
2012-12-11,3618.969971,3648.929932,3609.000000,3646.149902,116762600
2012-12-12,3646.419922,3652.040039,3636.020020,3646.659912,101235800
2012-12-13,3654.219971,3659.100098,3633.350098,3643.129883,105850400
2012-12-14,3643.699951,3652.959961,3631.879883,3643.280029,182944400
2012-12-17,3633.169922,3639.870117,3611.120117,3638.100098,136648200
2012-12-18,3650.250000,3656.469971,3631.610107,3648.629883,189095600
2012-12-19,3661.629883,3670.199951,3650.500000,3664.590088,155859400
2012-12-20,3652.409912,3674.570068,3652.080078,3666.729980,156365400
2012-12-21,3650.250000,3667.020020,3637.889893,3661.399902,274258800
2012-12-27,3662.949951,3684.159912,3649.889893,3674.260010,76549200
2012-12-28,3677.000000,3680.110107,3618.669922,3620.250000,49791000
2013-01-02,3600.159912,3733.929932,3599.219971,3733.929932,114179400
2013-01-03,3724.300049,3726.969971,3703.830078,3721.169922,58745000
2013-01-04,3713.320068,3731.129883,3696.540039,3730.020020,64316800
2013-01-07,3731.489990,3732.649902,3696.510010,3704.639893,82577200
2013-01-08,3694.209961,3731.239990,3692.899902,3705.879883,90902400
2013-01-09,3722.090088,3730.050049,3703.530029,3717.449951,130148400
2013-01-10,3716.080078,3727.350098,3694.070068,3703.120117,140769400
2013-01-11,3708.879883,3714.449951,3683.820068,3706.020020,83582800
2013-01-14,3721.629883,3730.040039,3704.169922,3708.250000,29746400
2013-01-15,3697.209961,3718.300049,3689.340088,3697.350098,103642200
2013-01-16,3694.429932,3715.149902,3680.610107,3708.489990,90940200
2013-01-17,3709.120117,3754.169922,3705.040039,3744.110107,97595600
2013-01-18,3758.379883,3760.949951,3735.709961,3741.580078,100071000
2013-01-21,3747.580078,3763.419922,3739.449951,3763.030029,57381200
2013-01-22,3759.000000,3762.929932,3724.530029,3741.010010,98266200
2013-01-23,3743.469971,3751.909912,3714.340088,3726.169922,96342200
2013-01-24,3723.030029,3752.419922,3711.550049,3752.169922,79562200
2013-01-25,3745.810059,3782.600098,3745.020020,3778.159912,100132000
2013-01-28,3784.580078,3789.120117,3771.110107,3780.889893,83043200
2013-01-29,3780.199951,3789.919922,3762.850098,3785.820068,84269800
2013-01-30,3787.330078,3793.260010,3759.260010,3765.520020,96926400
2013-01-31,3755.110107,3761.219971,3725.679932,3732.600098,121568600
2013-02-01,3734.659912,3786.250000,3731.719971,3773.530029,108402400
2013-02-04,3778.360107,3778.360107,3659.909912,3659.909912,126058600
2013-02-05,3654.219971,3710.810059,3654.219971,3694.699951,90120000
2013-02-06,3695.270020,3706.979980,3624.030029,3642.899902,130229600
2013-02-07,3638.939941,3659.969971,3601.050049,3601.050049,102633000
2013-02-08,3614.959961,3653.560059,3608.110107,3649.500000,98615600
2013-02-11,3660.280029,3676.429932,3634.820068,3650.580078,69192400
2013-02-12,3645.270020,3686.580078,3639.530029,3686.580078,88558400
2013-02-13,3692.469971,3709.389893,3673.139893,3698.530029,89567200
2013-02-14,3691.500000,3710.090088,3657.659912,3669.600098,112155000
2013-02-15,3665.780029,3694.729980,3659.239990,3660.370117,103652600
2013-02-18,3655.530029,3669.350098,3640.830078,3667.040039,65821000
2013-02-19,3662.120117,3740.489990,3661.129883,3735.820068,100742000
2013-02-20,3734.129883,3743.649902,3701.750000,3709.879883,119456600
2013-02-21,3687.280029,3688.050049,3623.169922,3624.800049,142011800
2013-02-22,3645.719971,3706.780029,3644.550049,3706.280029,107975400
2013-02-25,3721.100098,3787.530029,3704.929932,3721.330078,133442600
2013-02-26,3610.060059,3667.620117,3600.810059,3621.919922,162457200
2013-02-27,3641.899902,3693.169922,3619.469971,3691.489990,125396600
2013-02-28,3711.719971,3728.120117,3685.060059,3723.000000,124268000
2013-03-01,3712.419922,3731.699951,3661.209961,3699.909912,106514200
2013-03-04,3680.580078,3723.679932,3673.030029,3709.760010,98922400
2013-03-05,3737.810059,3793.239990,3736.909912,3787.189941,112332600
2013-03-06,3791.540039,3809.000000,3769.939941,3773.760010,90551200
2013-03-07,3783.040039,3802.179932,3779.820068,3793.780029,88515400
2013-03-08,3813.699951,3849.870117,3813.080078,3840.149902,110423000
2013-03-11,3830.689941,3837.790039,3817.919922,3836.270020,73777000
2013-03-12,3824.110107,3855.070068,3822.949951,3839.969971,84350200
2013-03-13,3834.439941,3839.989990,3817.560059,3836.040039,83695200
2013-03-14,3855.300049,3871.580078,3849.689941,3871.580078,119993400
2013-03-15,3867.090088,3869.139893,3829.729980,3844.030029,198658000
2013-03-18,3768.070068,3832.020020,3761.219971,3825.469971,122589000
2013-03-19,3813.370117,3819.370117,3763.989990,3775.750000,126794800
2013-03-20,3798.120117,3834.879883,3785.810059,3829.560059,105949800
2013-03-21,3821.439941,3822.649902,3756.580078,3774.850098,103805600
2013-03-22,3766.239990,3790.919922,3750.050049,3770.290039,95914400
2013-03-25,3823.879883,3837.020020,3719.439941,3727.979980,131724200
2013-03-26,3735.320068,3765.010010,3732.139893,3748.639893,108932200
2013-03-27,3763.020020,3765.760010,3669.169922,3711.639893,140480800
2013-03-28,3710.919922,3751.149902,3695.090088,3731.419922,109480800
2013-04-02,3729.820068,3810.179932,3729.280029,3805.370117,129183200
2013-04-03,3789.580078,3806.300049,3752.709961,3754.959961,113307000
2013-04-04,3767.879883,3794.719971,3719.199951,3726.159912,124703400
2013-04-05,3727.629883,3735.679932,3638.830078,3663.479980,127796600
2013-04-08,3677.209961,3694.270020,3663.159912,3666.780029,79621800
2013-04-09,3688.229980,3701.929932,3655.919922,3670.719971,97491000
2013-04-10,3685.280029,3750.169922,3685.280029,3743.709961,125566400
2013-04-11,3739.899902,3788.860107,3736.530029,3775.659912,101183000
2013-04-12,3765.649902,3773.639893,3718.110107,3729.300049,100063800
2013-04-15,3728.689941,3747.669922,3684.850098,3710.479980,103653000
2013-04-16,3694.659912,3721.959961,3676.449951,3685.790039,107304000
2013-04-17,3707.050049,3711.469971,3591.320068,3599.229980,156357600
2013-04-18,3617.030029,3636.879883,3584.379883,3599.360107,132881000
2013-04-19,3633.330078,3657.979980,3613.969971,3651.959961,121170000
2013-04-22,3673.479980,3681.949951,3631.580078,3652.129883,88581400
2013-04-23,3655.649902,3783.050049,3655.070068,3783.050049,151079000
2013-04-24,3786.449951,3849.040039,3782.560059,3842.939941,141670400
2013-04-25,3835.250000,3854.409912,3825.610107,3840.469971,98405200
2013-04-26,3821.989990,3828.139893,3788.469971,3810.050049,92558000
2013-04-29,3828.939941,3870.189941,3827.929932,3868.679932,86171400
2013-04-30,3883.000000,3886.449951,3843.370117,3856.750000,101008600
2013-05-02,3828.620117,3888.979980,3819.040039,3858.760010,118408600
2013-05-03,3873.949951,3914.510010,3848.330078,3912.949951,109438000
