<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110204,5983.30,6023.40,5983.30,5997.40,763863200
20110207,5997.40,6054.10,5996.60,6051.00,694875000
20110208,6051.00,6091.30,6032.90,6091.30,859550000
20110209,6091.30,6091.30,6049.50,6052.30,923601800
20110210,6052.30,6052.30,5986.50,6020.00,821798000
20110211,6020.00,6071.40,5973.40,6062.90,822822600
20110214,6062.90,6091.50,6042.10,6060.10,636741400
20110215,6060.10,6072.10,6023.80,6037.10,875930200
20110216,6037.10,6095.80,6033.50,6085.30,859535200
20110217,6085.30,6101.40,6066.70,6087.40,1022169000
20110218,6087.40,6096.80,6048.80,6083.00,802223000
20110221,6083.00,6105.80,6013.10,6014.80,629790600
20110222,6014.80,6028.60,5926.50,5996.80,769147400
20110223,5996.80,5996.80,5915.50,5923.50,897134800
20110224,5923.50,5936.70,5861.00,5920.00,939695000
20110225,5920.00,6011.50,5920.00,6001.20,836550200
20110228,6001.20,6022.30,5963.60,5994.00,956595600
20110301,5994.00,6040.40,5927.40,5935.80,898036600
20110302,5935.80,5941.80,5865.90,5914.90,891083600
20110303,5914.90,6017.10,5914.90,6005.10,811030200
20110304,6005.10,6052.10,5983.20,5990.40,729247600
20110307,5990.40,6043.10,5967.70,5973.80,651065400
20110308,5973.80,5999.90,5911.00,5974.80,813285600
20110309,5974.80,5979.30,5922.70,5937.30,744541000
20110310,5937.30,5937.30,5833.20,5845.30,950808400
20110311,5845.30,5845.30,5796.40,5828.70,777919800
20110314,5828.70,5842.00,5769.00,5775.20,830598200
20110315,5775.20,5775.20,5591.60,5695.30,1270314900
20110316,5695.30,5720.90,5598.20,5598.20,1124024200
20110317,5598.20,5707.70,5598.20,5696.10,931850400
20110318,5696.10,5758.20,5696.10,5718.10,1379471500
20110321,5718.10,5798.80,5718.10,5786.10,764087000
20110322,5786.10,5813.80,5742.60,5762.70,686659000
20110323,5762.70,5802.40,5731.40,5795.90,910207800
20110324,5795.90,5888.70,5780.40,5880.90,828355800
20110325,5880.90,5918.70,5878.20,5900.80,664221800
20110328,5900.80,5923.00,5900.60,5904.50,526577800
20110329,5904.50,5932.70,5879.90,5932.20,669497200
20110330,5932.20,5971.00,5932.20,5948.30,872031000
20110331,5948.30,5972.80,5908.80,5908.80,1034424900
20110401,5908.80,6014.80,5908.80,6009.90,921016600
20110404,6009.90,6035.10,5987.70,6017.00,683415000
20110405,6017.00,6026.30,5989.00,6007.10,714605800
20110406,6007.10,6056.40,6007.10,6041.10,810707000
20110407,6041.10,6053.10,6007.40,6007.40,710450000
20110408,6007.40,6066.40,6007.40,6055.80,607115400
20110411,6055.80,6070.80,6044.50,6053.40,659854800
20110412,6053.40,6053.60,5958.30,5964.50,759468000
